index,date,open,high,low,close,volume,returns,return_1,return_3,return_5,momentum_5,momentum_10,volatility_5,volatility_10,ma_10,ma_20,ma_ratio,price_ma_ratio,zscore,rsi,rangeocp,rangehlp,vwap_d,atrr_14,garch_vol,garch_vol_change,vol_ratio
1235,11-03-2020,10334.2998,10545.09961,10334,10458.40039,1218500,0.000664777,0.000664998,-0.071931814,-0.074748032,-0.015225023,-0.011805215,0.021664972,0.019462262,11136.89004,11591.92261,0.960745721,0.939077279,-2.040530723,15.00526174,-1.18661154,2.018469379,10445.83333,235.6888749,0.016690361,-0.002771901,0.857575567
1236,12-03-2020,10039.9502,10040.75,9508,9590.150391,1343500,-0.08666895,-0.083019388,-0.127331193,-0.147617955,-0.03090351,-0.019095106,0.035819569,0.029713842,10928.05508,11466.03511,0.953080553,0.877571564,-2.683150662,6.679764244,4.690226809,5.555178786,9712.966797,286.7396975,0.016690361,-0.013023481,0.56170321
1237,13-03-2020,9107.599609,10159.40039,8555.150391,9955.200195,1388000,0.037358477,0.038065076,-0.047481449,-0.116585305,-0.023610466,-0.014901561,0.04627748,0.034650393,10760.24512,11353.73511,0.947727335,0.925183403,-1.856959657,17.26495644,-8.514149081,16.11469351,9556.583659,380.8475762,0.016690361,-0.017960032,0.481678826
1238,16-03-2020,9587.799805,9602.200195,9165.099609,9197.400391,897700,-0.079174169,-0.076121001,-0.120572932,-0.163070015,-0.033873272,-0.018804053,0.051951226,0.039311825,10559.81016,11204.87261,0.942430184,0.870981604,-2.313195886,14.93564954,4.244671293,4.752436203,9321.566732,410.079934,0.016690361,-0.022621464,0.424563362
1239,17-03-2020,9285.400391,9403.799805,8915.599609,8967.049805,935600,-0.025364152,-0.025045184,-0.064972973,-0.142028174,-0.0290911,-0.020692596,0.051312325,0.039089902,10343.24014,11047.55259,0.936247196,0.866947851,-2.13769405,14.1841313,3.550226584,5.44437921,9095.483073,415.6599527,0.016690361,-0.022399541,0.426973717
1240,18-03-2020,9088.450195,9127.549805,8407.049805,8468.799805,1516600,-0.057167927,-0.05556454,-0.14930894,-0.190239474,-0.040337007,-0.027781015,0.049282056,0.038251939,10059.79014,10868.70259,0.925574148,0.841846568,-2.180749204,12.94333218,7.316861951,8.507699044,8667.799805,437.4342418,0.016690361,-0.021561578,0.436327175
1241,19-03-2020,8063.299805,8575.450195,7832.549805,8263.450195,925700,-0.0245466,-0.024247782,-0.101545019,-0.138339874,-0.028582686,-0.029743098,0.043188949,0.037426629,9761.035156,10682.2501,0.913762088,0.84657519,-1.998221457,12.48176671,-2.4221165,8.990196263,8223.816732,459.2532524,0.016690361,-0.020736268,0.445948808
1242,20-03-2020,8284.450195,8883,8178.200195,8745.450195,1071500,0.056691388,0.058329147,-0.024712655,-0.121519405,-0.024529872,-0.024070169,0.051212199,0.046018464,9508.680176,10513.22759,0.90444919,0.919733342,-1.432480924,22.95657593,-5.271312393,8.059045434,8602.216797,476.7922919,0.016690361,-0.029328103,0.362688348
1243,23-03-2020,7945.700195,8159.25,7583.600098,7610.25,653500,-0.139037565,-0.129804661,-0.101377979,-0.172565108,-0.035266604,-0.034569938,0.067704333,0.056897647,9170.760156,10289.69761,0.891256527,0.829838516,-2.005781355,18.59173046,4.40787353,7.564139185,7784.366699,525.7249923,0.016690361,-0.040207286,0.29334009
1244,24-03-2020,7848.299805,8036.950195,7511.100098,7801.049805,738400,0.024762292,0.025071424,-0.055957304,-0.130031619,-0.025243282,-0.027167191,0.073091334,0.059570878,8905.720117,10088.28008,0.882778833,0.875959462,-1.640859986,18.88465184,0.605687711,6.740760677,7783.033366,525.7339284,0.016690361,-0.042880517,0.280176513
1245,25-03-2020,7735.149902,8376.75,7714.75,8317.849609,736900,0.064145446,0.066247469,-0.048894062,-0.017824272,-0.000880881,-0.020608944,0.080394213,0.066214942,8691.665039,9914.277539,0.876681635,0.956991505,-1.151437594,25.92759298,-7.00541287,7.958787801,8136.44987,535.4672192,0.016690361,-0.049524581,0.25206336
1246,26-03-2020,8451,8749.049805,8304.900391,8641.450195,865600,0.038166654,0.038904356,0.135501488,0.045743605,0.011749547,-0.00841657,0.080765296,0.064652916,8596.79502,9762.425049,0.880600361,1.005194398,-0.831043891,29.46569038,-2.203914748,5.139755527,8565.133464,528.9445188,0.016690361,-0.047962555,0.258153254
1247,27-03-2020,8949.099609,9038.900391,8522.900391,8660.25,801500,0.002173175,0.002175538,0.110139048,-0.009742231,0.000518825,-0.012005523,0.076458305,0.062754229,8467.3,9613.772559,0.880746861,1.022787665,-0.736553206,31.02391872,3.33534955,5.958257556,8740.683594,528.0199104,0.016690361,-0.046063868,0.265963918
1248,30-03-2020,8385.950195,8576,8244,8281.099609,593300,-0.044767828,-0.043780536,-0.004418209,0.088150798,0.01772365,-0.008771477,0.041477952,0.059848982,8375.669922,9467.740039,0.884653559,0.988708926,-0.933977922,31.84824932,1.266143277,4.009129411,8367.033203,520.0363453,0.016690361,-0.043158621,0.278874595
1249,31-03-2020,8529.349609,8678.299805,8358,8597.75,712700,0.037524778,0.038237723,-0.005057044,0.102127305,0.02035691,-0.002443186,0.04246719,0.061265964,8338.739941,9340.990039,0.892704082,1.031061055,-0.608631704,35.20487147,-0.79556152,3.725391,8544.683268,511.2623346,0.016690361,-0.044575603,0.272424682
1250,01-04-2020,8584.099609,8588.099609,8198.349609,8253.799805,506300,-0.040826864,-0.040004675,-0.046932848,-0.007700284,-0.000893519,-0.0008872,0.040291199,0.059950388,8317.239941,9188.515039,0.905177812,0.992372453,-0.811625671,38.4072838,4.001790842,4.722067523,8346.749674,503.2721958,0.016690361,-0.043260027,0.278402881
1251,03-04-2020,8356.549805,8356.549805,8055.799805,8083.799805,697000,-0.020811642,-0.020596574,-0.023825315,-0.064532038,-0.012793705,-0.000522079,0.033873995,0.059803243,8299.274902,9030.155029,0.919062284,0.974036877,-0.886240541,33.19715556,3.374032096,3.72040386,8165.383138,488.8063246,0.016690361,-0.043112882,0.279087888
1252,07-04-2020,8446.299805,8819.400391,8360.950195,8792.200195,814200,0.084002952,0.087632105,0.022616405,0.015236303,0.004297608,0.002408217,0.056987916,0.0636044,8303.949902,8906.315039,0.932366514,1.058797355,-0.122818644,46.32924405,-3.934173278,5.214282945,8657.516927,506.4344862,0.016690361,-0.046914039,0.262408901
1253,08-04-2020,8688.900391,9131.700195,8653.900391,8748.75,896500,-0.004954154,-0.004941902,0.059966344,0.056472016,0.012065335,0.014894493,0.05114358,0.044000488,8417.799902,8794.280029,0.957190341,1.03931551,-0.057684271,47.95308165,-0.684093263,5.461349389,8844.783529,504.3891518,0.016690361,-0.027310126,0.379322175
1254,09-04-2020,8973.049805,9128.349609,8904.549805,9111.900391,742100,0.040670461,0.041508832,0.127180362,0.059800575,0.012719557,0.016538233,0.051581122,0.044723994,8548.884961,8727.302539,0.979556389,1.065858347,0.555675161,56.1868698,-1.523837838,2.45612655,9048.266602,495.475613,0.016690361,-0.028033633,0.37318583
1255,13-04-2020,9103.950195,9112.049805,8912.400391,8993.849609,644000,-0.013040327,-0.012955671,0.022935034,0.08966171,0.018129358,0.008617919,0.045758856,0.041864449,8616.484961,8654.075,0.995656377,1.04379566,0.601193278,57.14676121,1.224176417,2.219843813,9006.099935,474.3451702,0.016690361,-0.025174088,0.398676227
1256,15-04-2020,9196.400391,9261.200195,8874.099609,8925.299805,879100,-0.007651048,-0.007621854,0.020180003,0.104097086,0.020724302,0.003965298,0.043316423,0.040693546,8644.869922,8620.832471,1.002788298,1.032438878,0.579538928,51.91469807,3.037439547,4.337115777,9020.19987,468.1134142,0.016690361,-0.024003185,0.410147611
1257,16-04-2020,8851.25,9053.75,8821.900391,8992.799805,719400,0.007534317,0.007562771,-0.013070883,0.022815633,0.004710435,0.004504022,0.021906632,0.040702878,8678.124902,8572.712451,1.012296277,1.036260702,0.97109141,69.04940735,-1.57403487,2.578169362,8956.150065,451.2374282,0.016690361,-0.024012517,0.410053576
1258,17-04-2020,9323.450195,9324,9091.349609,9266.75,684200,0.030008489,0.030463282,0.030343001,0.059208458,0.011791472,0.011928404,0.023658709,0.037567404,8776.689941,8576.179932,1.023379874,1.055836547,1.576260438,69.74271334,0.611867109,2.510593149,9227.366536,442.6633401,0.016690361,-0.020877043,0.44427772
