,date,open,high,low,close,rangeoc,rangehl,returns,return_1,return_3,return_5,momentum_5,momentum_10,volatility_5,volatility_10,ma_10,ma_20,ma_ratio,price_ma_ratio,zscore,rsi,state,state_prob_0,state_prob_1,state_prob_2,regime,xgb_prob,xgb_signal,signal,position,strategy_return,trade,costs,net_return,equity
256,01-03-2018,10479.9502,10525.5,10447.15039,10458.34961,0.2%,0.7%,-0.003293371,-0.003287953,-0.011740971,0.007286102,0.001475526,-0.000810733,0.007517111,0.006465684,10455.03994,10529.36748,0.99294093,1.000316562,-0.471973661,43.03921636,2,4.05E-06,0.000479908,0.999516045,bear,0.41234678,0,-1,-1,0.003287953,1,0.001,0.002287953,100550.9332
257,05-03-2018,10428.2998,10428.7002,10323.90039,10358.84961,0.7%,1.0%,-0.009559476,-0.009513929,-0.018518537,-0.012601236,-0.002514378,-0.000878335,0.006835872,0.006561758,10445.69492,10496.46494,0.995163132,0.991686019,-1.34157805,44.20241101,2,5.68E-14,3.57E-06,0.999996428,bear,0.18152636,0,-1,-1,0.009513929,0,0,0.009513929,101507.5677
258,06-03-2018,10420.5,10441.34961,10215.90039,10249.25,1.7%,2.2%,-0.010636657,-0.010580288,-0.023215772,-0.031499785,-0.006375729,-0.001229348,0.003573119,0.007008464,10432.77988,10470.89746,0.996359665,0.982408343,-2.288723328,32.98378646,2,3.37E-28,4.60E-10,1,bear,0.95193475,1,0,-1,0.010580288,0,0,0.010580288,102581.5469
259,07-03-2018,10232.9502,10243.34961,10141.5498,10154.2002,0.8%,1.0%,-0.0093171,-0.00927383,-0.02908197,-0.037908683,-0.007695658,-0.001983293,0.003043649,0.007459829,10412.15986,10445.27998,0.996829179,0.975225153,-2.662524896,30.94630611,2,2.46E-32,2.03E-11,1,bear,0.986482,1,0,0,0,1,0.001,-0.001,102478.9654
260,08-03-2018,10216.25,10270.34961,10146.40039,10242.65039,-0.3%,1.2%,0.008672981,0.0087107,-0.011217386,-0.023844735,-0.00478906,-0.001469833,0.008069584,0.008039207,10396.67988,10432.5,0.996566488,0.985184742,-1.616500713,34.12152752,2,2.03E-21,2.20E-11,1,bear,0.97339475,1,0,0,0,0,0,0,102478.9654
261,09-03-2018,10271.2998,10296.7002,10211.90039,10226.84961,0.4%,0.8%,-0.001543837,-0.001542646,-0.002185564,-0.022135424,-0.004439999,-0.001482236,0.008187634,0.008039215,10381.09482,10420.00747,0.996265584,0.98514172,-1.539017065,37.1354952,2,2.30E-15,2.66E-09,0.999999997,bear,0.4475471,0,-1,0,0,0,0,0,102478.9654
262,12-03-2018,10301.59961,10433.65039,10295.4502,10421.40039,-1.1%,1.3%,0.018844845,0.01902353,0.026314253,0.006038391,0.001267493,-0.000623442,0.012550543,0.009733889,10374.12988,10412.23501,0.996340351,1.004556576,0.076394401,52.15668488,2,3.87E-08,1.41E-11,0.999999961,bear,0.9589669,1,0,-1,-0.01902353,1,0.001,-0.02002353,100426.9747
263,13-03-2018,10389.5,10478.59961,10377.84961,10426.84961,-0.4%,1.0%,0.000522751,0.000522887,0.01798355,0.017328059,0.003488128,-0.0014438,0.010788801,0.009188766,10358.55488,10410.82998,0.994978777,1.006593075,0.133930018,53.37528547,2,0.000108464,4.21E-08,0.999891494,bear,0.7353999,1,0,0,0,1,0.001,-0.001,100326.5478
264,14-03-2018,10393.0498,10420.34961,10336.2998,10410.90039,-0.2%,0.8%,-0.001530801,-0.00152963,0.017996821,0.025280198,0.005036968,-0.001329345,0.00888691,0.009178861,10344.21494,10404.3875,0.994216617,1.006446642,0.056286818,50.69816813,2,0.000219784,4.47E-08,0.999780172,bear,0.88583523,1,0,0,0,0,0,0,100326.5478
265,15-03-2018,10405.4502,10420,10346.2002,10360.15039,0.4%,0.7%,-0.004886619,-0.004874698,-0.005877329,0.01147164,0.002319889,-0.001234586,0.009535996,0.009132095,10330.94502,10397.35,0.993613278,1.00282698,-0.326901714,48.87166241,2,0.000213279,1.59E-08,0.999786705,bear,0.70696753,1,0,0,0,0,0,0,100326.5478
266,16-03-2018,10345.15039,10346.2998,10180.25,10195.15039,1.5%,1.6%,-0.016054598,-0.01592641,-0.022221402,-0.003099607,-0.000556864,-0.002498431,0.012652772,0.010253546,10304.6251,10379.83252,0.992754467,0.989376158,-1.582309508,35.98827643,2,5.56E-09,1.85E-15,0.999999994,bear,0.5963571,1,0,0,0,0,0,0,100326.5478
267,19-03-2018,10215.34961,10224.5498,10075.2998,10094.25,1.2%,1.5%,-0.009946201,-0.009896901,-0.030415274,-0.031392172,-0.00634095,-0.002536728,0.006650879,0.010283332,10278.16514,10361.93003,0.991916092,0.982106229,-2.035042643,27.078169,2,2.26E-14,7.26E-16,1,bear,0.6635673,1,0,0,0,0,0,0,100326.5478
268,20-03-2018,10051.5498,10155.65039,10049.09961,10124.34961,-0.7%,1.1%,0.00297742,0.002981857,-0.022760363,-0.029011639,-0.005849156,-0.001180514,0.007340469,0.009994916,10265.6751,10349.22749,0.991926702,0.986233201,-1.586632758,29.85332112,2,1.39E-16,7.02E-15,1,bear,0.60924095,1,0,0,0,0,0,0,100326.5478
