run_id,n_components,long_threshold,short_threshold,xgb_params,feature_config,sharpe,sortino,calmar,max_drawdown,cagr,profit_factor,win_rate,expectancy,num_trades
b2f6ec3b,2,0.68,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True, 'mean_reversion': True}",-0.31152971645058863,-0.3664642707027527,-0.5958048644760917,-0.029802855180117382,-0.017756686091590423,0.22061942860244135,0.3333333333333333,-112.19173177083333,6
c44e499e,2,0.68,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True, 'mean_reversion': True}",0.6314568928239601,0.7218967274905196,1.0980984150475288,-0.029273694147533474,0.03214539714599263,2.661675756073376,0.5714285714285714,84.1640625,7
457deaff,2,0.68,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True, 'mean_reversion': True}",-0.44212534119943653,-0.5184534015942224,-1.0744559168785546,-0.06353168756437248,-0.0682619976128197,0.6192375444544155,0.3333333333333333,-54.69444444444444,9
eb8e17f8,2,0.68,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True, 'mean_reversion': True}",2.872604695072916,2.149321074913665,10.248615726557313,-0.021703532583364046,0.22243116535571383,1.1196104269122913,0.5454545454545454,9.686257102272727,11
eeff2a5c,2,0.68,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True, 'mean_reversion': True}",1.5593461651814051,1.6835252707177772,3.710955296235211,-0.026354324489928076,0.09779972004459991,1.224655167536681,0.5,25.206298828125,8
c9f479ba,2,0.68,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True, 'mean_reversion': True}",2.3638424161757254,3.3717184685343473,6.558905166355054,-0.02650944348020867,0.17387292579953795,0.7825500775016062,0.4666666666666667,-23.710026041666666,15
d194df7b,2,0.68,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True, 'mean_reversion': True}",2.651207375382309,4.450311688208923,10.542676925620851,-0.013500395231228503,0.14233030529103452,0.870614165218497,0.38461538461538464,-11.465594951923077,13
dbd18bdf,2,0.68,0.35,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-1.395330993302052,-1.0455447721206215,-2.5294068231736144,-0.028432466991686958,-0.07191727600843156,0.0,0.0,-90.1896484375,5
436f1e97,2,0.68,0.35,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.04310119643346,0.8958562864142487,2.457668883368938,-0.026597302992762962,0.06536736394684906,0.5517081323416423,0.375,-17.2718505859375,16
e13b91e1,2,0.68,0.35,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",0.6610833294815373,0.2854721815794873,1.7633962426365841,-0.019023530088059057,0.03354602147896735,4.386137514625127,0.5714285714285714,55.31431361607143,7
